Date,Time,Event
2024-11-18,,
2024-11-18,15:58:07,New Date Entry
2024-11-18,15:58:07,Drowsiness Detected
2024-11-18,15:58:15,Drowsiness Detected
2024-11-18,15:58:38,Drowsiness Detected
2024-11-18,15:58:44,Drowsiness Detected
2024-11-18,15:58:47,Drowsiness Detected
