Date,Time,Event
2024-11-30,,
2024-11-30,12:34:47,New Date Entry
2024-11-30,12:34:47,Drowsiness Detected
2024-11-30,12:54:04,Drowsiness Detected
2024-11-30,12:55:17,Drowsiness Detected
2024-11-30,13:03:52,Drowsiness Detected
2024-11-30,17:05:30,Drowsiness Detected
2024-11-30,17:05:34,Drowsiness Detected
2024-11-30,17:09:19,Drowsiness Detected
2024-11-30,17:09:24,Drowsiness Detected
