Date,Time,Event
2024-11-30,,
2024-11-30,20:08:01,New Date Entry
2024-11-30,20:08:01,Drowsiness Detected
2024-11-30,20:08:22,Drowsiness Detected
2024-11-30,20:08:24,Drowsiness Detected
2024-11-30,20:08:26,Drowsiness Detected
2024-11-30,20:08:29,Drowsiness Detected
2024-11-30,20:08:31,Drowsiness Detected
